canonical_id,name,mapping_method,mapping_confidence,metadata_source_count
can_f24cc814321b,Batas Desa,source_record_id,1.0,1
can_024c4fb4c89a,Taman Cerry Glompong,source_record_id,1.0,1
can_e053bc385b26,rumah Fei,source_record_id,1.0,1
can_63f18aaf8fe3,Wisata Jeruk Nandasari,source_record_id,1.0,1
can_ec20090d02ba,Air terjun umbul eklek,source_record_id,1.0,1
can_131a6aa5a25b,Rumah Pak Suwaliono,source_record_id,1.0,1
can_1f2fa288fb40,WISATA BATU SERIBU (WayRupik),source_record_id,1.0,1
can_c48c198af0e6,Lebung gustut,source_record_id,1.0,1
can_da51a92cbc18,sawah lebung Bram Gent,source_record_id,1.0,1
can_3de983ac8e2c,TPU Bandar Jaya,source_record_id,1.0,1
can_528d83eabf29,Embung Dewi Sri Sendangretno,source_record_id,1.0,1
can_c7781714a7d1,"Hutan Mangrove, kuala penet, Lampung Timur",source_record_id,1.0,1
can_36b9e1f98ce9,Bukit teletabis estetik,source_record_id,1.0,1
can_1a46f7a6372c,Taman Nasional Way Kambas,source_record_id,1.0,1
can_6ab9ce7897e3,Rest Area Karetan Desa Labuhan Ratu 7,source_record_id,1.0,1
can_dbed9d70254a,Taman wisata srimenanti,source_record_id,1.0,1
can_16454bdc631e,Wisata gerojokan,source_record_id,1.0,1
can_31059bd822d1,Ekowisata Sekar Bahari Mangrove,source_record_id,1.0,1
can_e9ab8e769b1a,Gubuk P karse,source_record_id,1.0,1
can_afa73bc2f2c7,Sobo Tirto kali medek,source_record_id,1.0,1
can_cb536af6e5ba,Kebun Alpukat Siger Desa Girimulyo,source_record_id,1.0,1
can_0ad2c6fa95ed,Kawasan Edukasi Peduli Lingkungan,source_record_id,1.0,1
can_5e028583732f,PEMANCINGAN ENTONG,source_record_id,1.0,1
can_111f61b5cbc0,Air terjun apik,source_record_id,1.0,1
can_40a3df3667b4,Lapangan BRAJAASRI,source_record_id,1.0,1
